"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         137,      -5.776952384,      -6.119225399,       -6.23921904,      -5.225812042
          0,           0,         138,      -5.771366689,      -6.129868071,      -6.245600616,      -5.219792764
          0,           0,         139,        -5.7648498,      -6.139739164,      -6.251130502,      -5.212774705
          0,           0,         140,      -5.758289956,      -6.148788047,      -6.255834684,      -5.205675823
          0,           0,         141,      -5.752572766,      -6.157082049,       -6.25930066,      -5.199421469
          0,           0,         142,       -5.74790693,       -6.16540531,      -6.263106417,      -5.194217083
          0,           0,         143,      -5.744689483,      -6.173748423,      -6.267477504,      -5.190461624
          0,           0,         144,      -5.743303252,      -6.181842366,      -6.272603677,      -5.188585016
          0,           0,         145,       -5.74383387,      -6.189888541,      -6.278610048,      -5.188674705
          0,           0,         146,      -5.746321874,      -6.197760762,      -6.285398255,      -5.190774273
          0,           0,         147,      -5.750750284,      -6.205391495,      -6.292932035,        -5.1948677
          0,           0,         148,      -5.757002076,      -6.212855743,       -6.30081752,      -5.200829775
          0,           0,         149,      -5.764821452,      -6.220640065,      -6.309314983,      -5.208377138
          0,           0,         150,      -5.774137839,      -6.228576775,      -6.318318953,      -5.217455986
          0,           0,         151,      -5.784802286,      -6.236641569,      -6.327522237,      -5.227919807
          0,           0,         152,      -5.796828766,      -6.245099106,      -6.336858756,      -5.239802679
          0,           0,         153,      -5.810242546,      -6.253913283,      -6.346336373,      -5.253146043
          0,           0,         154,       -5.82415855,      -6.262328912,       -6.35584811,      -5.266985595
          0,           0,         155,      -5.838290133,      -6.270765896,      -6.365270598,      -5.280982407
          0,           0,         156,      -5.852412387,       -6.27937933,      -6.374717636,      -5.294973635
          0,           0,         157,      -5.866250791,      -6.288298993,      -6.384502274,      -5.308727697
          0,           0,         158,      -5.879588301,      -6.297591933,      -6.394847539,      -5.322033182
          0,           0,         159,      -5.892296779,       -6.30727767,      -6.405723611,      -5.334757837
          0,           0,         160,      -5.904297089,      -6.317390092,       -6.41717008,       -5.34681993
          0,           0,         161,      -5.915565292,      -6.327992136,       -6.42917956,      -5.358197925
          0,           0,         162,       -5.92611698,       -6.33921236,      -6.441666498,      -5.368904575
          0,           0,         163,      -5.936353497,      -6.351734493,      -6.453768933,      -5.379309509
          0,           0,         164,      -5.945968718,       -6.36468469,      -6.465448181,      -5.389097697
          0,           0,         165,       -5.95532031,      -6.378408879,      -6.477465156,      -5.398543844
          0,           0,         166,      -5.964708281,      -6.392952395,      -6.489888166,      -5.408021339
          0,           0,         167,      -5.974599721,      -6.408525374,      -6.502511745,      -5.418126896
          0,           0,         168,      -5.984937671,      -6.425335525,      -6.514874826,      -5.428756228
          0,           0,         169,      -5.995881033,      -6.443366895,      -6.526812281,      -5.440021311
          0,           0,         170,      -6.007555843,       -6.46251359,      -6.538380402,      -5.452032267
          0,           0,         171,      -6.020043171,      -6.482575181,      -6.549641415,      -5.464863699
          0,           0,         172,      -6.033386677,      -6.503300739,       -6.56045171,       -5.47854862
          0,           0,         173,      -6.047585936,      -6.524415814,      -6.570947584,      -5.493080692
          0,           0,         174,      -6.062588912,      -6.545725856,      -6.581017658,      -5.508401008
          0,           0,         175,      -6.078308978,      -6.567042402,      -6.590787798,      -5.524412319
          0,           0,         176,      -6.094571253,      -6.588144621,      -6.600421579,      -5.540947883
          0,           0,         177,      -6.111130203,      -6.608608527,      -6.610047595,      -5.557778386
          0,           0,         178,      -6.127759757,      -6.628246727,      -6.620114567,       -5.57465777
          0,           0,         179,      -6.144258544,      -6.647011122,      -6.630814208,      -5.591365974
          0,           0,         180,      -6.160389616,      -6.664813526,      -6.642246666,      -5.607688932
          0,           0,         181,      -6.175884452,      -6.681560465,      -6.654473453,      -5.623382585
          0,           0,         182,      -6.190514839,      -6.697170544,      -6.667653675,      -5.638230797
          0,           0,         183,      -6.204098823,      -6.711629169,      -6.681985183,      -5.652063294
          0,           0,         184,      -6.216525774,      -6.725006267,      -6.697030935,      -5.664781674
          0,           0,         185,      -6.227788822,      -6.737394605,      -6.712150953,      -5.676380305
          0,           0,         186,      -6.237942785,      -6.748858101,      -6.727073918,      -5.686898356
          0,           0,         187,      -6.247089574,      -6.759469868,      -6.741752033,      -5.696425802
          0,           0,         188,      -6.255364697,      -6.769416652,      -6.755970212,       -5.70508587
          0,           0,         189,      -6.262905674,      -6.778829216,      -6.769326772,      -5.712996459
          0,           0,         190,      -6.269893707,      -6.787800905,      -6.781311637,      -5.720323694
          0,           0,         191,      -6.276513763,      -6.796347852,      -6.791590862,      -5.727234014
          0,           0,         192,       -6.28294744,      -6.804419773,      -6.800289872,      -5.733893862
          0,           0,         193,      -6.289328404,      -6.811965732,      -6.807305583,      -5.740418538
          0,           0,         194,      -6.295750566,      -6.818855193,      -6.812927662,      -5.746892459
          0,           0,         195,      -6.302274191,      -6.824991434,      -6.817430662,      -5.753379056
          0,           0,         196,      -6.308947021,      -6.830317973,      -6.821273031,       -5.75992547
          0,           0,         197,      -6.315807196,       -6.83479599,       -6.82495103,      -5.766573366
          0,           0,         198,      -6.322832008,      -6.838418893,      -6.828790424,      -5.773308856
