"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          71,      -6.075260104,      -5.918457809,      -6.325617545,       -6.14798825,      -5.501069064,      -8.523475544
          0,           0,          72,      -6.103583793,      -5.951723692,      -6.321074967,      -6.159546479,      -5.527933922,      -8.516030416
          0,           0,          73,      -6.114979473,      -5.924334791,      -6.329824537,      -6.167171269,      -5.534301491,      -8.508133394
          0,           0,          74,      -6.131912762,      -5.961148281,      -6.352044239,      -6.165429762,      -5.552035816,        -8.5001214
          0,           0,          75,      -6.167241415,        -6.0093645,      -6.353582429,      -6.156576752,      -5.585745741,       -8.49153969
          0,           0,          76,      -6.134546117,       -5.91312103,      -6.351103447,      -6.151389968,      -5.548622286,      -8.482071902
          0,           0,          77,      -6.133731203,      -5.956593027,      -6.356151361,      -6.151533784,      -5.550136426,      -8.471916741
          0,           0,          78,      -6.163526306,      -5.995664586,      -6.356891821,      -6.158632078,      -5.580811593,      -8.461862857
          0,           0,          79,      -6.175228555,      -6.020057445,       -6.35773857,      -6.156706247,      -5.592756069,      -8.452629295
          0,           0,          80,      -6.174420163,      -6.030766941,        -6.3618339,      -6.166525834,      -5.592437509,       -8.44438523
          0,           0,          81,      -6.179768068,      -6.033096104,      -6.367149688,      -6.166070466,      -5.597737228,      -8.437253695
          0,           0,          82,       -6.17875458,      -6.040952594,      -6.370540692,      -6.163927398,      -5.596049595,      -8.431109323
          0,           0,          83,      -6.190552079,      -6.066561596,      -6.372560323,      -6.157996148,      -5.608266725,       -8.42560428
          0,           0,          84,       -6.18532639,      -6.067616353,      -6.371181479,      -6.159719795,       -5.60326357,      -8.420372892
          0,           0,          85,      -6.190710335,      -6.072934803,      -6.372904137,      -6.158079948,      -5.609241605,      -8.415024808
          0,           0,          86,      -6.178720776,      -6.055229966,      -6.371825832,      -6.151563662,      -5.596602073,       -8.40936355
          0,           0,          87,       -6.17655456,      -6.053171995,      -6.367637688,      -6.152142658,      -5.592736352,      -8.403296124
          0,           0,          88,      -6.174209724,      -6.037304109,      -6.365837749,      -6.152449272,      -5.588710225,      -8.396915734
          0,           0,          89,      -6.172573892,      -6.036492036,      -6.368250856,       -6.16274564,      -5.588323096,      -8.390245554
          0,           0,          90,      -6.159376549,      -6.020059857,      -6.371807045,      -6.158704564,      -5.575286107,      -8.383344522
          0,           0,          91,      -6.151314349,      -6.012193623,      -6.368237932,      -6.155711241,      -5.567626266,      -8.376217756
          0,           0,          92,      -6.154661409,       -6.01621439,      -6.371359739,      -6.155979934,      -5.571154898,      -8.369087718
          0,           0,          93,      -6.161453198,      -6.026596122,      -6.374129963,      -6.156276219,       -5.57783682,      -8.362022601
          0,           0,          94,      -6.169102758,      -6.036988841,      -6.380049764,      -6.157584967,      -5.585557824,       -8.35511506
          0,           0,          95,      -6.178382608,      -6.054479059,      -6.387697478,       -6.14951675,      -5.594736591,      -8.348390158
          0,           0,          96,      -6.173901447,      -6.050037001,      -6.384412462,       -6.14585732,      -5.588190499,      -8.341915333
          0,           0,          97,      -6.204939341,       -6.07436605,      -6.391478237,      -6.161622039,      -5.618080698,       -8.33569885
          0,           0,          98,      -6.227040951,      -6.096997248,      -6.397173427,      -6.171858572,      -5.640670089,      -8.329705757
          0,           0,          99,      -6.229117412,      -6.085225219,      -6.397290662,      -6.178275392,       -5.64250393,      -8.323899657
          0,           0,         100,      -6.232487669,      -6.078472712,      -6.397466798,      -6.167711299,      -5.644266061,      -8.318159005
          0,           0,         101,      -6.207366763,      -6.062618705,      -6.396951476,       -6.16330495,      -5.617662468,      -8.312340907
          0,           0,         102,      -6.233845672,       -6.08802689,      -6.406253849,      -6.172109517,      -5.645481575,      -8.306272471
          0,           0,         103,      -6.233712595,      -6.088413226,      -6.410451112,       -6.17710249,      -5.645940484,      -8.299769754
          0,           0,         104,      -6.227239241,        -6.0792392,      -6.408921083,      -6.173813749,       -5.64100217,      -8.292767167
