Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
35,0.337932,0,0.951472,-0,5.97667e-08,0,0,0,0,0,0,0.627327,0.973088,0.0203649,1.15795,0.380589,-1.26585,0.00237318,-0.000476318,0.000234407,0.00243183,1.11121,0,0,0,0,8.114
36,0.344618,0,0.971467,-0,5.98213e-08,0,0,0,0,0,0,0.639551,0.973088,0.0213502,1.16464,0.388587,-1.24986,0.00228245,-0.000441793,0.000192448,0.00233277,1.11255,0,0,0,0,8.07927
37,0.34929,0,0.986842,-0,5.99227e-08,0,0,0,0,0,0,0.652734,0.973088,0.0222539,1.17195,0.394737,-1.23756,0.0020998,-0.000395238,0.000150282,0.00214195,1.11505,0,0,0,0,7.82532
38,0.357322,0,1.01286,-0,6.00715e-08,0,0,0,0,0,0,0.666821,0.973088,0.0230682,1.17987,0.405142,-1.21675,0.00180563,-0.00033433,0.000108759,0.00183954,1.11871,0,0,0,0,7.35468
39,0.373416,0,1.06344,-0,6.02829e-08,0,0,0,0,0,0,0.681744,0.973088,0.0237851,1.18838,0.425375,-1.17628,0.00133359,-0.000259785,6.69469e-05,0.0013603,1.12393,0,0,0,0,6.45955
40,0.415193,0,1.18664,-0,6.04426e-08,0,0,0,0,0,0,0.697426,0.973088,0.0243935,1.19746,0.474657,-1.07772,0.000837507,-0.000178348,3.40415e-05,0.000856963,1.12788,0,0,0,0,5.36508
41,0.504818,0,1.44624,-0,6.05493e-08,0,0,0,0,0,0,0.713782,0.973088,0.0248773,1.20706,0.578497,-0.870038,0.000245628,-0.000107807,8.88459e-06,0.000268392,1.13053,0,0,0,0,3.02484
42,0.591674,0,1.69905,-0,6.06568e-08,0,0,0,0,0,0,0.730717,0.973088,0.0252155,1.21716,0.679622,-0.667788,-0.00010158,-5.61444e-05,-2.98151e-07,0.000116063,1.13319,0,0,0,0,3.44796
43,0.640534,0,1.84036,-0,6.06856e-08,0,0,0,0,0,0,0.748133,0.973088,0.0253837,1.2277,0.736145,-0.554741,-0.000277269,3.52553e-06,-1.18521e-06,0.000277294,1.13391,0,0,0,0,3.76244
44,0.661051,0,1.89943,-0,6.06897e-08,0,0,0,0,0,0,0.765924,0.973088,0.0253586,1.23862,0.759773,-0.507487,-0.000375851,0.00010007,1.63985e-06,0.000388948,1.13401,0,0,0,0,4.62711
45,0.6667,0,1.91564,-0,6.06893e-08,0,0,0,0,0,0,0.783982,0.973088,0.0251218,1.24986,0.766257,-0.494517,-0.000428587,0.000208934,7.01712e-06,0.000476854,1.134,0,0,0,0,5.16664
46,0.679052,0,1.95143,-0,6.06961e-08,0,0,0,0,0,0,0.802194,0.973088,0.0246641,1.26136,0.780571,-0.465891,-0.000439024,0.000301166,1.35071e-05,0.000532565,1.13417,0,0,0,0,5.5198
47,0.697427,0,2.00474,-0,6.07077e-08,0,0,0,0,0,0,0.82045,0.973088,0.0239891,1.27303,0.801895,-0.423241,-0.000404179,0.000360912,1.88319e-05,0.000542193,1.13446,0,0,0,0,5.64891
48,0.716118,0,2.05901,-0,6.07198e-08,0,0,0,0,0,0,0.838638,0.973088,0.0231136,1.28481,0.823604,-0.379823,-0.000341191,0.000392947,2.16625e-05,0.000520853,1.13476,0,0,0,0,5.60961
49,0.733589,0,2.10971,-0,6.073e-08,0,0,0,0,0,0,0.856652,0.973088,0.0220659,1.29663,0.843885,-0.339261,-0.000275797,0.000410672,2.24874e-05,0.000495198,1.13501,0,0,0,0,5.53703
50,0.749986,0,2.15724,-0,6.07378e-08,0,0,0,0,0,0,0.874389,0.973088,0.0208818,1.30839,0.862896,-0.30124,-0.000218877,0.000423539,2.21407e-05,0.000477266,1.13521,0,0,0,0,5.4935
51,0.765239,0,2.2014,-0,6.07438e-08,0,0,0,0,0,0,0.891751,0.973088,0.0196003,1.32004,0.88056,-0.265912,-0.000170514,0.000434058,2.10717e-05,0.000466824,1.13535,0,0,0,0,5.48349
52,0.779283,0,2.24201,-0,6.07481e-08,0,0,0,0,0,0,0.908648,0.973088,0.0182579,1.33149,0.896806,-0.233421,-0.000129671,0.000443238,1.96313e-05,0.000462233,1.13546,0,0,0,0,5.49625
53,0.792109,0,2.27907,-0,6.07513e-08,0,0,0,0,0,0,0.924997,0.973088,0.0168852,1.34269,0.911629,-0.203774,-9.55163e-05,0.000451273,1.81054e-05,0.000461626,1.13554,0,0,0,0,5.52827
54,0.803818,0,2.31287,-0,6.07534e-08,0,0,0,0,0,0,0.940724,0.973088,0.0155046,1.35355,0.925147,-0.176737,-6.75197e-05,0.000458719,1.67309e-05,0.000463964,1.13559,0,0,0,0,5.56797
55,0.807417,0,2.32325,-0,6.07538e-08,0,0,0,0,0,0,0.945786,0.973088,0.0150421,1.35707,0.929299,-0.168433,-5.99817e-05,0.000461014,1.63642e-05,0.000465187,1.1356,0,0,0,0,5.58342
56,0.814616,0,2.34401,-0,6.07548e-08,0,0,0,0,0,0,0.955763,0.973088,0.0141306,1.36403,0.937604,-0.151823,-4.51531e-05,0.000464997,1.56375e-05,0.000467446,1.13563,0,0,0,0,5.61288
57,0.82455,0,2.37264,-0,6.07557e-08,0,0,0,0,0,0,0.97006,0.973088,0.0127713,1.37407,0.949056,-0.12892,-2.78744e-05,0.000470787,1.49113e-05,0.000471847,1.13565,0,0,0,0,5.65843
58,0.833598,0,2.39869,-0,6.07561e-08,0,0,0,0,0,0,0.983574,0.973088,0.0114313,1.38364,0.959478,-0.108076,-1.52801e-05,0.000476915,1.46088e-05,0.000477384,1.13566,0,0,0,0,5.70397
59,0.841907,0,2.4226,-0,6.0756e-08,0,0,0,0,0,0,0.996279,0.973088,0.0101135,1.39269,0.969041,-0.0889492,-6.83867e-06,0.00048374,1.47287e-05,0.000484013,1.13566,0,0,0,0,5.74946
60,0.849384,0,2.4441,-0,6.07557e-08,0,0,0,0,0,0,1.00816,0.973088,0.00882243,1.4012,0.97764,-0.0717508,-2.15049e-06,0.000491032,1.52442e-05,0.000491273,1.13565,0,0,0,0,5.79873
61,0.856334,0,2.46407,-0,6.07551e-08,0,0,0,0,0,0,1.01923,0.973088,0.007564,1.40918,0.985627,-0.0557787,-1.72063e-07,0.000499114,1.60581e-05,0.000499372,1.13564,0,0,0,0,5.84735
62,0.862376,0,2.48141,-0,6.07544e-08,0,0,0,0,0,0,1.02951,0.973088,0.00634536,1.41663,0.992565,-0.0419021,-4.5112e-07,0.000507138,1.70787e-05,0.000507426,1.13562,0,0,0,0,5.89368
63,0.868306,0,2.49841,-0,6.07531e-08,0,0,0,0,0,0,1.03904,0.973088,0.00517381,1.42356,0.999362,-0.0283072,-8.34026e-07,0.000515035,1.80129e-05,0.00051535,1.13558,0,0,0,0,5.94202
64,0.872975,0,2.5117,-0,6.07505e-08,0,0,0,0,0,0,1.04789,0.973088,0.00405492,1.43003,1.00468,-0.0176711,-9.7475e-07,0.000520922,1.87027e-05,0.000521259,1.13552,0,0,0,0,5.97651
65,0.878595,0,2.52751,-0,6.0744e-08,0,0,0,0,0,0,1.05615,0.973088,0.00299116,1.43609,1.011,-0.00502618,5.85554e-06,0.000523067,1.82294e-05,0.000523417,1.13536,0,0,0,0,6.00298
66,0.881854,0,2.53604,-0,6.07287e-08,0,0,0,0,0,0,1.06393,0.973088,0.00197458,1.44182,1.01441,0.00179707,2.67968e-05,0.00051095,1.53319e-05,0.000511882,1.13498,0,0,0,0,5.94816
67,0.890217,0,2.55805,-0,6.06923e-08,0,0,0,0,0,0,1.07136,0.973088,0.000985946,1.44731,1.02322,0.0194053,0.000117144,0.000463407,1.70622e-06,0.000477987,1.13407,0,0,0,0,5.79126
