"PointID","x","y"
81, 7.440000027400000e-02, -4.892194072396851e-02
82, 6.633000075800000e-02, -4.705088539755295e-02
83, 5.869000032500000e-02, -4.505295144151221e-02
84, 5.149000138000000e-02, -4.292777757029106e-02
85, 4.473999887700000e-02, -4.067603585172139e-02
86, 3.844000026600000e-02, -3.829571023066154e-02
87, 3.260000050100000e-02, -3.578889933581268e-02
88, 2.723000012300000e-02, -3.315950099924624e-02
89, 2.232000045500000e-02, -3.040185286621663e-02
90, 1.789999939500000e-02, -2.753417906413776e-02
91, 1.394999958600000e-02, -2.454599760987476e-02
92, 1.049000024800000e-02, -2.145540746281042e-02
93, 7.519999985000000e-03, -1.827007340982540e-02
94, 5.040000193000000e-03, -1.499967410951568e-02
95, 3.049999941000000e-03, -1.165611497572401e-02
96, 1.560000004000000e-03, -8.279442859765028e-03
97, 5.600000150000000e-04, -4.877747197420692e-03
98, 5.999999800000000e-05, -1.530966485217743e-03
99, 0.000000000000000e+00, 0.000000000000000e+00
100, 5.999999800000000e-05, 1.394601753417860e-03
101, 5.600000150000000e-04, 4.200516791704675e-03
102, 1.560000004000000e-03, 6.878152323646853e-03
103, 3.049999941000000e-03, 9.418486191885352e-03
104, 5.040000193000000e-03, 1.184414801756157e-02
105, 7.519999985000000e-03, 1.414578329762889e-02
106, 1.049000024800000e-02, 1.633092858577230e-02
107, 1.394999958600000e-02, 1.840612694363606e-02
108, 1.789999939500000e-02, 2.037765943528263e-02
109, 2.232000045500000e-02, 2.224391170294322e-02
110, 2.723000012300000e-02, 2.402095830176810e-02
111, 3.260000050100000e-02, 2.570540088117131e-02
112, 3.844000026600000e-02, 2.730846225901752e-02
113, 4.473999887700000e-02, 2.883447250795621e-02
114, 5.149000138000000e-02, 3.028818826339103e-02
115, 5.869000032500000e-02, 3.167631544144736e-02
116, 6.633000075800000e-02, 3.300313622893532e-02
117, 7.440000027400000e-02, 3.427288844098400e-02
118, 8.290000259900000e-02, 3.549100941007712e-02
119, 9.181000292300000e-02, 3.665971007166145e-02
120, 1.011300012470000e-01, 3.778368074266449e-02
121, 1.108499988910000e-01, 3.886582384185741e-02
122, 1.209499984980000e-01, 3.990771217365592e-02
123, 1.314399987460000e-01, 4.091359942202009e-02
124, 1.422899961470000e-01, 4.188335542997056e-02
125, 1.534900069240000e-01, 4.281854404995452e-02
126, 1.650400012730000e-01, 4.372103135847148e-02
127, 1.769299954180000e-01, 4.459133973380927e-02
128, 1.891400069000000e-01, 4.542889959412207e-02
129, 2.016600072380000e-01, 4.623349829296123e-02
130, 2.144699990750000e-01, 4.700390244960795e-02
131, 2.275699973110000e-01, 4.773968560095798e-02
132, 2.409400045870000e-01, 4.843882753604848e-02
133, 2.545700073240000e-01, 4.909950898329832e-02
134, 2.684499919410000e-01, 4.971950510462295e-02
135, 2.825500071050000e-01, 5.029542494349230e-02
136, 2.968699932100000e-01, 5.082486304779435e-02
137, 3.113999962810000e-01, 5.130460504720065e-02
138, 3.261100053790000e-01, 5.173057288873052e-02
139, 3.409900069240000e-01, 5.209918465633484e-02
140, 3.560400009160000e-01, 5.240679193285942e-02
141, 3.712300062180000e-01, 5.264894075126120e-02
142, 3.865399956700000e-01, 5.282146128585099e-02
143, 4.019699990750000e-01, 5.292034090411363e-02
144, 4.174999892710000e-01, 5.294132453398734e-02
145, 4.331099987030000e-01, 5.288035123815266e-02
146, 4.487800002100000e-01, 5.273363042024899e-02
147, 4.645099937920000e-01, 5.249736403849036e-02
148, 4.802699983120000e-01, 5.216842776557909e-02
149, 4.960500001910000e-01, 5.174384073486719e-02
150, 5.118399858470000e-01, 5.122096657234725e-02
151, 5.276100039480000e-01, 5.059843637426630e-02
152, 5.433599948880000e-01, 4.987442089353242e-02
153, 5.590599775310000e-01, 4.904907385538837e-02
154, 5.747100114820000e-01, 4.812184317678687e-02
155, 5.902799963950000e-01, 4.709470824327957e-02
156, 6.057599782940000e-01, 4.596942590740740e-02
157, 6.211299896240000e-01, 4.474939832224686e-02
158, 6.363800168040000e-01, 4.343825710027563e-02
159, 6.514999866490000e-01, 4.204051482132807e-02
160, 6.664699912070000e-01, 4.056257089753502e-02
161, 6.812700033190000e-01, 3.901194881210918e-02
162, 6.958900094030001e-01, 3.739609572519211e-02
163, 7.103199958800001e-01, 3.572322286305524e-02
164, 7.245299816130000e-01, 3.400469634316397e-02
165, 7.385200262070000e-01, 3.224899895319697e-02
166, 7.522799968720000e-01, 3.046624349067231e-02
167, 7.657799720760000e-01, 2.866957018939302e-02
168, 7.790099978450000e-01, 2.686983229751245e-02
169, 7.919700145720000e-01, 2.507654994979395e-02
170, 8.046399950980000e-01, 2.330189730579544e-02
171, 8.170099854470000e-01, 2.155639973528538e-02
172, 8.290500044819999e-01, 1.985284453594244e-02
173, 8.407700061800000e-01, 1.819736133806900e-02
174, 8.521599769590000e-01, 1.659733119373991e-02
