"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
        102,           0,          49,      0.2402612613,      -4.723304218,      -2.260269432,      -1.688841938,      0.6251197089,      -1.065162942
        103,           0,          49,      0.2426167638,      -4.764373192,      -2.316696526,       -2.28097236,      0.6888170848,      -1.099195924
        104,           0,          49,      0.2449722664,      -4.810869275,      -2.400314659,      -1.769527391,      0.7212236264,      -1.152442866
        105,           0,          49,      0.2473277689,       -4.85815069,      -2.500660073,      -1.471589448,      0.6801346944,      -1.209098159
        106,           0,          49,      0.2496832715,      -4.883059655,      -2.565433605,      -1.312957051,      0.6160059648,      -1.228900815
        107,           0,          49,      0.2520387741,      -4.866274062,      -2.524880437,      -1.217430362,      0.6293390634,      -1.187222659
        108,           0,          49,      0.2543942766,      -4.801043964,      -2.418551984,      -1.161285789,      0.7376697871,      -1.108710153
        109,           0,          49,      0.2567497792,      -4.720031658,      -2.326607034,      -1.135398569,      0.8348051723,      -1.032925886
        110,           0,          49,      0.2591052817,       -4.66046703,      -2.266539967,      -1.136960584,      0.8796191273,     -0.9744612679
        111,           0,          49,      0.2614607843,      -4.622348928,      -2.219230104,      -1.166853334,      0.8677501582,     -0.9353426178
        112,           0,          49,      0.2638162869,      -4.607360798,      -2.196548417,      -1.230052874,      0.7991048647,     -0.9159292142
        113,           0,          49,      0.2661717894,      -4.609526561,      -2.196423947,      -1.339005363,      0.6885914148,     -0.9137988482
        114,           0,          49,       0.268527292,      -4.636864902,      -2.223233571,      -1.525958761,       0.625212663,     -0.9296171492
        115,           0,          49,      0.2708827946,      -4.692738087,       -2.27806657,      -1.911927182,      0.6764832764,     -0.9649185285
        116,           0,          49,      0.2732382971,      -4.762537107,      -2.351827886,      -2.053418498,      0.7372879616,      -1.025387005
        117,           0,          49,      0.2755937997,       -4.82845153,      -2.447963098,      -1.580842404,      0.7275479119,      -1.110500747
        118,           0,          49,      0.2779493022,      -4.881120161,      -2.529046578,      -1.368529801,       0.653926677,      -1.189792713
        119,           0,          49,      0.2803048048,      -4.879877937,      -2.507529782,      -1.245917212,      0.6004263097,      -1.191789624
        120,           0,          49,      0.2826603074,      -4.819980462,      -2.396972948,      -1.171731808,      0.6704357314,      -1.101939452
        121,           0,          49,      0.2850158099,      -4.748671005,      -2.292446668,      -1.131479382,      0.7907970639,     -0.9934247671
        122,           0,          49,      0.2873713125,      -4.681925629,      -2.224817732,      -1.119479569,      0.8679299877,     -0.9070822487
        123,           0,          49,       0.289726815,      -4.620297788,      -2.175704027,      -1.134800795,       0.885909239,      -0.853062729
        124,           0,          49,      0.2920823176,      -4.577962031,      -2.165939941,      -1.180232633,      0.8430122621,     -0.8299098628
        125,           0,          49,      0.2944378202,      -4.563805266,      -2.168210467,       -1.26373054,      0.7449165664,     -0.8315105542
        126,           0,          49,      0.2967933227,      -4.587373757,      -2.200970687,       -1.40438622,      0.6341991818,     -0.8554381308
        127,           0,          49,      0.2991488253,      -4.626624665,       -2.23830569,      -1.659294847,      0.6366194099,     -0.9017739135
        128,           0,          49,      0.3015043278,      -4.684382736,      -2.313840006,      -2.268892258,      0.7117685014,     -0.9747679896
        129,           0,          49,      0.3038598304,      -4.752179055,      -2.398853924,      -1.752606861,       0.749798356,      -1.077729219
        130,           0,          49,       0.306215333,      -4.825677076,      -2.481942323,      -1.449864652,      0.7085209576,      -1.190210557
        131,           0,          49,      0.3085708355,      -4.877218007,      -2.490676853,      -1.289692975,      0.6327258571,      -1.218005812
        132,           0,          49,      0.3109263381,      -4.868747841,      -2.414457076,      -1.193386416,       0.633927377,      -1.117141894
        133,           0,          49,      0.3132818407,      -4.787211857,      -2.318155407,      -1.136722648,      0.7444966644,     -0.9848013547
        134,           0,          49,      0.3156373432,      -4.690731817,      -2.238276977,      -1.110427703,      0.8484965632,     -0.8809629919
        135,           0,          49,      0.3179928458,      -4.614392072,       -2.18467433,      -1.111551132,      0.8962940742,     -0.8103504989
        136,           0,          49,      0.3203483483,      -4.563274909,      -2.151712054,      -1.140966217,      0.8820107835,     -0.7691377671
        137,           0,          49,      0.3227038509,       -4.55098899,      -2.152452989,      -1.203666712,      0.8053391939,     -0.7550696791
        138,           0,          49,      0.3250593535,      -4.564468775,       -2.16134473,      -1.311769609,      0.6813175629,     -0.7640290572
        139,           0,          49,       0.327414856,      -4.600890434,      -2.195367353,      -1.496931079,      0.6175544951,     -0.7948295088
        140,           0,          49,      0.3297703586,      -4.660886008,      -2.252988304,      -1.878056203,      0.6839237747,     -0.8493042389
        141,           0,          49,      0.3321258611,       -4.73324956,      -2.335192851,      -2.048958792,      0.7546370519,     -0.9341237091
        142,           0,          49,      0.3344813637,      -4.810961593,      -2.422947884,      -1.562422073,      0.7505079968,      -1.056720233
        143,           0,          49,      0.3368368663,      -4.890142146,      -2.491079141,      -1.347234186,      0.6732784395,       -1.20158493
        144,           0,          49,      0.3391923688,      -4.908802511,      -2.484757511,      -1.223407859,       0.608755978,      -1.228129996
        145,           0,          49,      0.3415478714,      -4.832891139,      -2.402616574,      -1.148583524,      0.6786027697,      -1.067153804
        146,           0,          49,       0.343903374,      -4.729250343,      -2.292512759,      -1.107888272,      0.8064498377,     -0.9037728428
        147,           0,          49,      0.3462588765,      -4.642820927,      -2.196596362,      -1.095517316,       0.887680214,     -0.7866876347
        148,           0,          49,      0.3486143791,      -4.573109286,      -2.142338509,      -1.110482879,       0.906936205,     -0.7171963308
        149,           0,          49,      0.3509698816,      -4.529862975,      -2.119064128,       -1.15550902,      0.8623091843,     -0.6826006324
        150,           0,          49,      0.3533253842,      -4.513578341,      -2.111097665,       -1.23837451,      0.7552949545,     -0.6754539029
        151,           0,          49,      0.3556808868,      -4.539809827,      -2.129641148,      -1.378004615,      0.6300028601,     -0.6922163221
        152,           0,          49,      0.3580363893,      -4.587770388,      -2.166145829,      -1.630489376,      0.6389120537,     -0.7333249391
        153,           0,          49,      0.3603918919,      -4.652667441,      -2.228401502,      -2.238152417,      0.7317592783,     -0.8021089915
        154,           0,          49,      0.3627473944,      -4.728053407,      -2.306388846,      -1.735632775,      0.7750135518,     -0.9070255743
        155,           0,          49,       0.365102897,      -4.819478154,      -2.407888538,        -1.4291457,      0.7352763507,      -1.064136838
        156,           0,          49,      0.3674583996,      -4.908273978,      -2.504861352,      -1.267629542,      0.6508492462,      -1.265839939
        157,           0,          49,      0.3698139021,      -4.930113271,      -2.522084797,      -1.170697847,      0.6394053935,      -1.286002792
        158,           0,          49,      0.3721694047,      -4.843240408,      -2.441846158,      -1.113716613,      0.7526808799,      -1.092734776
        159,           0,          49,      0.3745249072,      -4.713958877,      -2.330404315,      -1.087256849,      0.8613739439,     -0.9284288515
        160,           0,          49,      0.3768804098,      -4.611585058,      -2.242540552,      -1.088247622,      0.9116174957,     -0.8181127197
        161,           0,          49,      0.3792359124,      -4.553564067,      -2.191187347,      -1.117505823,      0.8978468422,     -0.7510047904
        162,           0,          49,      0.3815914149,      -4.524019118,      -2.171623932,      -1.179899865,      0.8173040617,      -0.718729494
        163,           0,          49,      0.3839469175,      -4.520334943,      -2.173488216,      -1.287528205,      0.6808072002,      -0.715541539
        164,           0,          49,      0.3863024201,      -4.544697801,      -2.193983114,      -1.471631026,      0.6076333927,     -0.7385571031
        165,           0,          49,      0.3886579226,        -4.6034551,      -2.237842735,      -1.848207291,      0.6903259026,     -0.7881350772
        166,           0,          49,      0.3910134252,      -4.682876312,      -2.307674517,      -2.031386366,      0.7713279939,     -0.8670925785
        167,           0,          49,      0.3933689277,      -4.777364678,      -2.406034435,      -1.542493604,      0.7713336351,     -0.9810815046
        168,           0,          49,      0.3957244303,      -4.864912698,      -2.519458106,      -1.326195708,      0.6924731761,      -1.111748324
        169,           0,          49,      0.3980799329,      -4.872892291,      -2.579496046,      -1.201857164,      0.6203421515,      -1.147030908
        170,           0,          49,      0.4004354354,      -4.799190658,      -2.516863533,      -1.126800605,      0.6904858649,      -1.025627994
        171,           0,          49,       0.402790938,      -4.710105822,      -2.399784661,      -1.086000281,      0.8249274955,     -0.8880832049
        172,           0,          49,      0.4051464405,      -4.620069989,       -2.30047682,      -1.073630332,      0.9087669087,     -0.7854586271
        173,           0,          49,      0.4075019431,      -4.542772077,      -2.230073584,      -1.088665205,      0.9290686552,     -0.7159389858
        174,           0,          49,      0.4098574457,       -4.49871898,      -2.197274827,      -1.133771051,      0.8828647426,     -0.6754796151
        175,           0,          49,      0.4122129482,      -4.481558869,      -2.183289727,      -1.216740939,      0.7703644374,     -0.6585123603
        176,           0,          49,      0.4145684508,      -4.490068943,      -2.182867198,      -1.356469047,      0.6370782151,     -0.6656408636
        177,           0,          49,      0.4169239534,      -4.523561987,      -2.209573698,      -1.608859148,      0.6468618787,     -0.6953145857
        178,           0,          49,      0.4192794559,      -4.565243112,      -2.258920401,      -2.209142233,      0.7497471687,     -0.7493552543
        179,           0,          49,      0.4216349585,      -4.634930235,      -2.334916608,      -1.712576457,      0.7993383751,      -0.830088904
        180,           0,          49,       0.423990461,      -4.708060174,      -2.426318961,      -1.406955962,      0.7609833419,     -0.9349116468
        181,           0,          49,      0.4263459636,      -4.772113271,      -2.512944281,      -1.245572018,      0.6697611134,      -1.042575449
        182,           0,          49,      0.4287014662,      -4.790670483,      -2.546502132,      -1.148829966,      0.6478353278,      -1.070769372
        183,           0,          49,      0.4310569687,      -4.744547878,      -2.498155835,       -1.09204758,      0.7616285995,     -0.9916954779
        184,           0,          49,      0.4334124713,       -4.64655767,      -2.410020938,      -1.065863802,      0.8745065507,     -0.8968913799
        185,           0,          49,      0.4357679738,      -4.558503696,      -2.332940133,      -1.067122276,      0.9267981417,     -0.8235718236
        186,           0,          49,      0.4381234764,      -4.496789097,      -2.270833565,      -1.096665703,      0.9126758444,     -0.7775498211
        187,           0,          49,       0.440478979,      -4.472222363,      -2.236737996,      -1.159331557,      0.8294235307,     -0.7534421154
        188,           0,          49,      0.4428344815,       -4.47478391,      -2.229571027,       -1.26714718,      0.6861472149,      -0.753171419
        189,           0,          49,      0.4451899841,      -4.489910627,       -2.24506666,      -1.451220308,      0.6099588848,     -0.7749714277
        190,           0,          49,      0.4475454866,      -4.526855879,      -2.290689113,      -1.827307421,      0.7044042335,      -0.825175312
        191,           0,          49,      0.4499009892,      -4.582305547,      -2.357685753,      -2.012558043,      0.7921608094,      -0.903178602
        192,           0,          49,      0.4522564918,      -4.649409082,      -2.441616024,      -1.523266719,         0.7955117,      -1.002443136
        193,           0,          49,      0.4546119943,      -4.700628598,      -2.507916523,      -1.306792417,      0.7151538194,      -1.069016794
        194,           0,          49,      0.4569674969,      -4.715639109,      -2.509566181,      -1.182289446,      0.6318129351,      -1.023244426
        195,           0,          49,      0.4593229995,      -4.692021994,      -2.438340227,      -1.107220721,      0.6980598967,     -0.9072391625
        196,           0,          49,       0.461678502,      -4.615013745,      -2.346049757,      -1.066496579,      0.8358581105,     -0.8040044084
        197,           0,          49,      0.4640340046,      -4.528839702,       -2.26868263,      -1.054270292,      0.9239105523,     -0.7279277902
        198,           0,          49,      0.4663895071,      -4.467121892,      -2.219662818,      -1.069483779,      0.9453666713,     -0.6787459222
        199,           0,          49,      0.4687450097,      -4.428342123,      -2.183210685,      -1.114806911,        0.89835733,     -0.6522650384
        200,           0,          49,      0.4711005123,      -4.428877049,      -2.176007741,      -1.198019373,      0.7828988781,     -0.6468819509
        201,           0,          49,      0.4734560148,      -4.444015815,      -2.196520046,      -1.338065509,      0.6437468177,     -0.6603978548
        202,           0,          49,      0.4758115174,      -4.474014513,       -2.24488611,      -1.591216236,      0.6594729217,     -0.6966641684
        203,           0,          49,      0.4781670199,      -4.529330529,      -2.315022867,      -2.206472461,      0.7686055826,     -0.7599843101
        204,           0,          49,      0.4805225225,      -4.597344877,      -2.385070579,       -1.69510196,      0.8213421629,     -0.8585035867
        205,           0,          49,      0.4828780251,      -4.672538846,      -2.446493677,      -1.388396161,      0.7834970418,     -0.9931366961
        206,           0,          49,      0.4852335276,      -4.738889217,      -2.474939113,      -1.226780659,      0.6848159261,      -1.104779435
        207,           0,          49,      0.4875890302,       -4.74141074,      -2.439347422,      -1.130016596,      0.6530386034,      -1.060846122
        208,           0,          49,      0.4899445328,       -4.67289369,      -2.355333977,      -1.073270247,      0.7685094005,     -0.9229904396
        209,           0,          49,      0.4923000353,      -4.578209318,      -2.275289816,      -1.047158647,      0.8855231784,     -0.8079150549
        210,           0,          49,      0.4946555379,      -4.508588089,      -2.214796189,       -1.04847229,      0.9405065058,     -0.7327683807
        211,           0,          49,      0.4970110404,      -4.466721734,      -2.189029867,      -1.077984533,      0.9270641326,     -0.6922396617
        212,           0,          49,       0.499366543,      -4.443531074,      -2.182021356,      -1.140507719,      0.8437905083,     -0.6800651257
        213,           0,          49,      0.5017220456,      -4.442328437,      -2.204076367,      -1.247957097,      0.6911256729,     -0.6927306892
        214,           0,          49,      0.5040775481,      -4.466309945,       -2.23415173,      -1.431311511,      0.6114422124,     -0.7308173195
        215,           0,          49,      0.5064330507,      -4.507226924,      -2.273942051,      -1.805708622,      0.7181747464,      -0.797998189
        216,           0,          49,      0.5087885532,      -4.568070448,      -2.332601796,      -2.009358324,      0.8119396675,     -0.9028604669
        217,           0,          49,      0.5111440558,      -4.644165924,      -2.405435862,      -1.509458909,      0.8169853094,      -1.055806671
        218,           0,          49,      0.5134995584,      -4.731422495,      -2.464426456,      -1.291163264,      0.7350763831,      -1.210167077
        219,           0,          49,      0.5158550609,      -4.783341896,      -2.463169768,      -1.165877169,      0.6418102759,      -1.154038852
        220,           0,          49,      0.5182105635,      -4.744335305,      -2.395887609,      -1.090357337,      0.7021365725,     -0.9764521613
        221,           0,          49,      0.5205660661,      -4.637860334,      -2.307975496,       -1.04932462,      0.8445846726,     -0.8334344962
        222,           0,          49,      0.5229215686,      -4.538196431,      -2.230442404,      -1.036858673,      0.9365041683,     -0.7427912118
        223,           0,          49,      0.5252770712,       -4.47330619,      -2.171525737,       -1.05183082,      0.9592793457,     -0.6853247122
        224,           0,          49,      0.5276325737,      -4.439767634,      -2.143057363,      -1.096876332,      0.9120948188,     -0.6572120754
        225,           0,          49,      0.5299880763,      -4.427090596,      -2.137275316,      -1.179691298,      0.7906450385,     -0.6528389956
        226,           0,          49,      0.5323435789,      -4.437125548,      -2.154284365,      -1.319097579,      0.6401427456,     -0.6719712913
        227,           0,          49,      0.5346990814,      -4.479492138,      -2.195783885,      -1.570892261,      0.6616279896,      -0.714702752
        228,           0,          49,       0.537054584,      -4.550521893,      -2.260451357,      -2.192770209,      0.7805464854,     -0.7885678074
        229,           0,          49,      0.5394100865,       -4.63146941,      -2.341812819,      -1.683690414,      0.8372504034,     -0.9013602236
        230,           0,          49,      0.5417655891,      -4.730986074,      -2.428130285,      -1.373561201,      0.7995700096,      -1.062462136
        231,           0,          49,      0.5441210917,      -4.808170273,      -2.472080876,      -1.210807907,      0.6952041011,      -1.214619192
        232,           0,          49,      0.5464765942,      -4.789697414,      -2.434790798,      -1.113473641,      0.6558254959,       -1.12702374
        233,           0,          49,      0.5488320968,      -4.687734962,      -2.342248947,      -1.056409387,      0.7766270705,     -0.9293575395
        234,           0,          49,      0.5511875993,      -4.570859265,      -2.244714677,      -1.030111176,      0.8999496313,     -0.7927285923
        235,           0,          49,      0.5535431019,      -4.478596005,      -2.178819176,      -1.031275718,      0.9577600109,     -0.7041578891
        236,           0,          49,      0.5558986045,      -4.433053824,      -2.135665101,       -1.06066701,      0.9449786529,     -0.6523274125
        237,           0,          49,       0.558254107,        -4.4076567,      -2.118308407,      -1.123020523,      0.8587201601,     -0.6342857764
        238,           0,          49,      0.5606096096,      -4.412192088,      -2.131608178,      -1.230235357,      0.7060843747,     -0.6408478285
