"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,         136,      -8.403966983,      -8.139037011,      -8.630605002,      -8.921740746
          0,           0,         137,      -8.433801701,      -8.173063543,      -8.656509783,      -8.950254641
          0,           0,         138,      -8.463438159,      -8.206956289,      -8.682618399,      -8.978705165
          0,           0,         139,      -8.493095275,      -8.240708131,      -8.708755892,      -9.007092618
          0,           0,         140,      -8.522915278,       -8.27428561,      -8.734768071,      -9.035310131
          0,           0,         141,      -8.552909579,      -8.307584099,      -8.760554978,      -9.063177061
          0,           0,         142,      -8.582961033,      -8.340421722,      -8.786070776,      -9.090498553
          0,           0,         143,      -8.612865495,      -8.372565181,      -8.811301746,      -9.117114745
          0,           0,         144,      -8.642390471,       -8.40377292,      -8.836244573,      -9.142922134
          0,           0,         145,      -8.671331959,      -8.433841896,        -8.8608968,      -9.167875189
          0,           0,         146,      -8.699555479,      -8.462646647,      -8.885257638,      -9.191982941
          0,           0,         147,      -8.727014805,      -8.490162703,      -8.909331326,      -9.215305923
          0,           0,         148,      -8.753748693,      -8.516470319,      -8.933128653,      -9.237951353
          0,           0,         149,      -8.779859994,      -8.541738528,      -8.956667535,      -9.260063563
          0,           0,         150,      -8.805484288,      -8.566193577,      -8.979974342,       -9.28180863
          0,           0,         151,      -8.830755987,       -8.59007887,      -9.003085486,      -9.303354787
          0,           0,         152,      -8.855778271,      -8.613614179,      -9.026047255,      -9.324851924
          0,           0,         153,      -8.880600556,       -8.63696034,      -9.048912208,      -9.346413483
          0,           0,         154,      -8.905204915,      -8.660193273,      -9.071731723,      -9.368102836
          0,           0,         155,      -8.929501624,      -8.683289181,      -9.094545738,      -9.389924947
          0,           0,         156,      -8.953333567,      -8.706121702,      -9.117371851,      -9.411823565
          0,           0,         157,      -8.976489123,      -8.728471408,      -9.140196362,      -9.433684128
          0,           0,         158,      -8.998722877,      -8.750047667,       -9.16296941,      -9.455342573
          0,           0,         159,      -9.019782661,      -8.770521791,      -9.185605467,      -9.476599853
          0,           0,         160,      -9.039439982,      -8.789568273,      -9.207989388,      -9.497241103
          0,           0,         161,       -9.05751939,      -8.806908279,      -9.229987337,       -9.51705727
          0,           0,         162,      -9.073921654,      -8.822347689,      -9.251461165,      -9.535866143
          0,           0,         163,      -9.088636511,      -8.835802287,      -9.272284147,      -9.553529605
          0,           0,         164,      -9.101743174,      -8.847305753,      -9.292355569,      -9.569964793
          0,           0,         165,       -9.11339982,      -8.857000739,      -9.311611655,      -9.585148457
          0,           0,         166,      -9.123825574,      -8.865117491,      -9.330030963,      -9.599115388
          0,           0,         167,      -9.133279258,      -8.871946448,      -9.347633654,      -9.611952752
          0,           0,         168,      -9.142038534,      -8.877810733,      -9.364475504,      -9.623792156
