"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          12,      -5.141213941,      -4.177715019,      -4.234213201,      -3.094381053,       -10.6186543,               0.5,      0.1442725989,      0.4343804334,                 0,                 0,                 0,    0.007843744411,      0.0666514033,      0.4528338925,                 0,       3.010831139,     0.00224923178
          0,           0,          13,      -5.118006766,      -4.194913322,      -4.279259257,      -3.070821341,      -10.56937588,               0.5,      0.1791422659,       0.729494085,                 0,                 0,                 0,     0.08009994974,     0.04974537384,      0.7495191587,                 0,       4.072149481,     0.00224923178
          0,           0,          14,      -5.123173697,      -4.192495276,      -4.293633063,        -3.0749161,      -10.52124476,               0.5,      0.1924805717,      0.9138287329,                 0,                 0,                 0,      0.1140347858,     0.03087166517,      0.9333695216,                 0,        4.74764141,     0.00122198676
          0,           0,          15,      -5.155835243,      -4.176997063,      -4.279433231,       -3.10603196,       -10.4748379,               0.5,      0.1872095228,      0.9782836949,                 0,                 0,                 0,        0.11256621,      0.0144882086,      0.9959299599,                 0,       5.225608614,    0.001492822817
          0,           0,          16,      -5.203775339,      -4.163679246,      -4.266158669,      -3.152381892,      -10.43044007,               0.5,      0.1682933139,       0.939677586,                 0,                 0,                 0,     0.08493943551,    0.002563259886,      0.9546255993,                 0,       5.583570519,    0.001492822817
          0,           0,          17,      -5.247843145,      -4.160799779,      -4.270371793,       -3.19548015,      -10.38843258,               0.5,      0.1418028115,      0.8319223143,                 0,                 0,                 0,     0.04330468868,   -0.004813285668,      0.8439073448,                 0,       5.866754724,    0.001669398365
          0,           0,          18,      -5.274586026,       -4.16839463,      -4.289498234,       -3.22204813,      -10.34900433,               0.5,      0.1138668513,      0.6955198947,                 0,                 0,                 0,  -0.0002397286712,   -0.008638804297,      0.7047261559,                 0,       6.108185893,    0.001669398365
          0,           0,          19,      -5.289498513,      -4.182885715,      -4.310797849,      -3.236724425,      -10.31189307,               0.5,     0.08976951912,      0.5682374036,                 0,                 0,                 0,     -0.0359186214,     -0.0102676712,       0.575192914,                 0,       6.329959313,    0.001669398365
          0,           0,          20,      -5.307693221,      -4.201217967,       -4.32438798,      -3.253826045,      -10.27701052,               0.5,      0.0731181608,       0.477395932,                 0,                 0,                 0,    -0.05791939074,    -0.01089160197,      0.4828400504,                 0,       6.529102028,    0.001669398365
          0,           0,          21,      -5.337729912,      -4.222659594,      -4.333473809,      -3.281878069,      -10.24400236,               0.5,      0.0654071621,      0.4366085397,                 0,                 0,                 0,    -0.06447291146,    -0.01140279693,      0.4413333094,                 0,       6.675240535,    0.001669398365
          0,           0,          22,      -5.377982559,      -4.247448939,      -4.348493083,      -3.319803375,       -10.2124953,               0.5,      0.0660998501,      0.4459077974,                 0,                 0,                 0,    -0.05734439531,    -0.01233543157,      0.4506115745,                 0,       6.745972899,    0.001963349514
