"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
52, 4.487800002100000e-01, -6.148379922749848e-02, 3.743572437734607e-01, -4.684194515789505e-01, -2.992486839218311e-02, 9.521619793793216e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.404443742777036e-03
53, 4.331099987030000e-01, -6.200738310441901e-02, 3.753145508542260e-01, -4.693116614772451e-01, -2.478344851787625e-02, 9.546109221700677e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.004663429590078e-02
54, 4.174999892710000e-01, -6.247430928466492e-02, 3.754803148963970e-01, -4.693981775637141e-01, -1.969950953460355e-02, 9.551845640817623e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.369008327853882e-02
55, 4.019699990750000e-01, -6.288516378685365e-02, 3.752775639496750e-01, -4.691016276827421e-01, -1.465849659502696e-02, 9.547864090699085e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.998793921583238e-02
56, 3.865399956700000e-01, -6.324035587467829e-02, 3.753239891304672e-01, -4.690483862691132e-01, -9.594140344897514e-03, 9.549970985741670e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.567918127887542e-02
57, 3.712300062180000e-01, -6.354006280000553e-02, 3.767526637478149e-01, -4.704166498617659e-01, -4.529865618485063e-03, 9.584352272673186e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.904050176864777e-02
58, 3.560400009160000e-01, -6.378447970790332e-02, 3.808725115877927e-01, -4.745750483648465e-01, 5.171620421023262e-04, 9.684615291274681e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.215547695178102e-01
59, 3.409900069240000e-01, -6.397300241590644e-02, 3.884807952580991e-01, -4.821270229626713e-01, 5.445418979333949e-03, 9.877405997634420e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.771652652054531e-01
60, 3.261100053790000e-01, -6.410463622099020e-02, 3.983747530137636e-01, -4.916417019917815e-01, 1.075513775978216e-02, 1.013727616630802e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.092130941816030e-01
61, 3.113999962810000e-01, -6.417830880736042e-02, 4.079373224941492e-01, -5.006585529858888e-01, 1.696468578474963e-02, 1.038459891698664e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.792959332430147e-02
